"county","year","income_bracket","housing_burden","share","source"
"Marin","2,024","$75,000 to $100,000","25% to 29% of income","0.1211889411","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$75,000 to $100,000","30% to 34% of income","0.09070046989","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$75,000 to $100,000","35% to 39% of income","0.08611080756","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$75,000 to $100,000","40% to 49% of income","0.13550431647","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$75,000 to $100,000","At least 50% of income","0.3124248716","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$100,000 or more","Less than 20% of income","0.55928027941","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$100,000 or more","20% to 24% of income","0.13819071972","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$100,000 or more","25% to 29% of income","0.09932019459","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$100,000 or more","30% to 34% of income","0.07074030186","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$100,000 or more","35% to 39% of income","0.04947299489","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$100,000 or more","40% to 49% of income","0.05198328552","ACS_B25074_B25095_1YR_5YR"
"Marin","2,024","$100,000 or more","At least 50% of income","0.03101222402","ACS_B25074_B25095_1YR_5YR"
"Napa","2,024","Less than $10,000","Less than 20% of income","0","ACS_B25074_B25095_5YR"
"Napa","2,024","Less than $10,000","20% to 24% of income","0","ACS_B25074_B25095_5YR"
"Napa","2,024","Less than $10,000","25% to 29% of income","0","ACS_B25074_B25095_5YR"
"Napa","2,024","Less than $10,000","30% to 34% of income","0","ACS_B25074_B25095_5YR"
"Napa","2,024","Less than $10,000","35% to 39% of income","0.00647773279","ACS_B25074_B25095_5YR"
"Napa","2,024","Less than $10,000","40% to 49% of income","0.05506072874","ACS_B25074_B25095_5YR"
"Napa","2,024","Less than $10,000","At least 50% of income","0.93846153846","ACS_B25074_B25095_5YR"
"Napa","2,024","$10,000 to $20,000","Less than 20% of income","0.02562609202","ACS_B25074_B25095_5YR"
"Napa","2,024","$10,000 to $20,000","20% to 24% of income","0.01164822365","ACS_B25074_B25095_5YR"
"Napa","2,024","$10,000 to $20,000","25% to 29% of income","0.07979033197","ACS_B25074_B25095_5YR"
"Napa","2,024","$10,000 to $20,000","30% to 34% of income","0.0495049505","ACS_B25074_B25095_5YR"
"Napa","2,024","$10,000 to $20,000","35% to 39% of income","0.03261502621","ACS_B25074_B25095_5YR"
"Napa","2,024","$10,000 to $20,000","40% to 49% of income","0.02154921374","ACS_B25074_B25095_5YR"
"Napa","2,024","$10,000 to $20,000","At least 50% of income","0.77926616191","ACS_B25074_B25095_5YR"
"Napa","2,024","$20,000 to $35,000","Less than 20% of income","0.11265969803","ACS_B25074_B25095_5YR"
"Napa","2,024","$20,000 to $35,000","20% to 24% of income","0.05865272938","ACS_B25074_B25095_5YR"
"Napa","2,024","$20,000 to $35,000","25% to 29% of income","0.02990708479","ACS_B25074_B25095_5YR"
"Napa","2,024","$20,000 to $35,000","30% to 34% of income","0.02351916376","ACS_B25074_B25095_5YR"
"Napa","2,024","$20,000 to $35,000","35% to 39% of income","0.05778164925","ACS_B25074_B25095_5YR"
"Napa","2,024","$20,000 to $35,000","40% to 49% of income","0.07839721254","ACS_B25074_B25095_5YR"
"Napa","2,024","$20,000 to $35,000","At least 50% of income","0.63908246225","ACS_B25074_B25095_5YR"
"Napa","2,024","$35,000 to $50,000","Less than 20% of income","0.17864187095","ACS_B25074_B25095_5YR"
"Napa","2,024","$35,000 to $50,000","20% to 24% of income","0.04226542688","ACS_B25074_B25095_5YR"
"Napa","2,024","$35,000 to $50,000","25% to 29% of income","0.05438151592","ACS_B25074_B25095_5YR"
"Napa","2,024","$35,000 to $50,000","30% to 34% of income","0.06029867568","ACS_B25074_B25095_5YR"
"Napa","2,024","$35,000 to $50,000","35% to 39% of income","0.03832065371","ACS_B25074_B25095_5YR"
"Napa","2,024","$35,000 to $50,000","40% to 49% of income","0.12454212454","ACS_B25074_B25095_5YR"
"Napa","2,024","$35,000 to $50,000","At least 50% of income","0.50154973232","ACS_B25074_B25095_5YR"
"Napa","2,024","$50,000 to $75,000","Less than 20% of income","0.19667497922","ACS_B25074_B25095_5YR"
"Napa","2,024","$50,000 to $75,000","20% to 24% of income","0.07797173732","ACS_B25074_B25095_5YR"
"Napa","2,024","$50,000 to $75,000","25% to 29% of income","0.07880299252","ACS_B25074_B25095_5YR"
"Napa","2,024","$50,000 to $75,000","30% to 34% of income","0.13732335827","ACS_B25074_B25095_5YR"
"Napa","2,024","$50,000 to $75,000","35% to 39% of income","0.10207813799","ACS_B25074_B25095_5YR"
"Napa","2,024","$50,000 to $75,000","40% to 49% of income","0.18370739817","ACS_B25074_B25095_5YR"
"Napa","2,024","$50,000 to $75,000","At least 50% of income","0.22344139651","ACS_B25074_B25095_5YR"
"Napa","2,024","$75,000 to $100,000","Less than 20% of income","0.26441171122","ACS_B25074_B25095_5YR"
"Napa","2,024","$75,000 to $100,000","20% to 24% of income","0.07655937443","ACS_B25074_B25095_5YR"
"Napa","2,024","$75,000 to $100,000","25% to 29% of income","0.1516639389","ACS_B25074_B25095_5YR"
"Napa","2,024","$75,000 to $100,000","30% to 34% of income","0.11874886343","ACS_B25074_B25095_5YR"
"Napa","2,024","$75,000 to $100,000","35% to 39% of income","0.09892707765","ACS_B25074_B25095_5YR"
"Napa","2,024","$75,000 to $100,000","40% to 49% of income","0.16312056738","ACS_B25074_B25095_5YR"
"Napa","2,024","$75,000 to $100,000","At least 50% of income","0.12656846699","ACS_B25074_B25095_5YR"
"Napa","2,024","$100,000 or more","Less than 20% of income","0.55653201388","ACS_B25074_B25095_5YR"
"Napa","2,024","$100,000 or more","20% to 24% of income","0.16365113359","ACS_B25074_B25095_5YR"
"Napa","2,024","$100,000 or more","25% to 29% of income","0.10519902518","ACS_B25074_B25095_5YR"
"Napa","2,024","$100,000 or more","30% to 34% of income","0.07418211358","ACS_B25074_B25095_5YR"
"Napa","2,024","$100,000 or more","35% to 39% of income","0.03097998671","ACS_B25074_B25095_5YR"
"Napa","2,024","$100,000 or more","40% to 49% of income","0.04615611846","ACS_B25074_B25095_5YR"
"Napa","2,024","$100,000 or more","At least 50% of income","0.0232996086","ACS_B25074_B25095_5YR"
"San Francisco","2,024","Less than $10,000","Less than 20% of income","0.02838673412","ACS_B25074_B25095_1YR"
"San Francisco","2,024","Less than $10,000","20% to 24% of income","0.02663012929","ACS_B25074_B25095_1YR"
"San Francisco","2,024","Less than $10,000","25% to 29% of income","0.03527262507","ACS_B25074_B25095_1YR"
"San Francisco","2,024","Less than $10,000","30% to 34% of income","0.00302136031","ACS_B25074_B25095_1YR"
"San Francisco","2,024","Less than $10,000","35% to 39% of income","0","ACS_B25074_B25095_1YR"
"San Francisco","2,024","Less than $10,000","40% to 49% of income","0.01278808319","ACS_B25074_B25095_1YR"
"San Francisco","2,024","Less than $10,000","At least 50% of income","0.89390106802","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$10,000 to $20,000","Less than 20% of income","0.03871201158","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$10,000 to $20,000","20% to 24% of income","0.04355101302","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$10,000 to $20,000","25% to 29% of income","0.13585383502","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$10,000 to $20,000","30% to 34% of income","0.06403762663","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$10,000 to $20,000","35% to 39% of income","0.07769536903","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$10,000 to $20,000","40% to 49% of income","0.04413892909","ACS_B25074_B25095_1YR"
"San Francisco","2,024","$10,000 to $20,000","At least 50% of income","0.59601121563","ACS_B25074_B25095_1YR"
