"county","year","household_type","housing_burden","share","source"
"Alameda","2,013","All","Less than 20% of income","0.33992191133","ACS_B25074_B25095_1YR"
"Contra Costa","2,013","All","Less than 20% of income","0.36094287379","ACS_B25074_B25095_1YR"
"Marin","2,013","All","Less than 20% of income","0.35138348144","ACS_B25074_B25095_1YR"
"Napa","2,013","All","Less than 20% of income","0.31193077339","ACS_B25074_B25095_1YR"
"San Francisco","2,013","All","Less than 20% of income","0.36498272269","ACS_B25074_B25095_1YR"
"San Mateo","2,013","All","Less than 20% of income","0.36087854179","ACS_B25074_B25095_1YR"
"Santa Clara","2,013","All","Less than 20% of income","0.3771934879","ACS_B25074_B25095_1YR"
"Solano","2,013","All","Less than 20% of income","0.33530478669","ACS_B25074_B25095_1YR"
"Sonoma","2,012","Owner","20% to 34% of income","0.30793796038","ACS_B25095_1YR"
"Sonoma","2,013","All","Less than 20% of income","0.33114622534","ACS_B25074_B25095_1YR"
"Alameda","2,013","All","20% to 34% of income","0.33241012053","ACS_B25074_B25095_1YR"
"Contra Costa","2,013","All","20% to 34% of income","0.32657990142","ACS_B25074_B25095_1YR"
"Marin","2,013","All","20% to 34% of income","0.31511477001","ACS_B25074_B25095_1YR"
"Napa","2,013","All","20% to 34% of income","0.35792320173","ACS_B25074_B25095_1YR"
"San Francisco","2,013","All","20% to 34% of income","0.30874211332","ACS_B25074_B25095_1YR"
"San Mateo","2,013","All","20% to 34% of income","0.31920482923","ACS_B25074_B25095_1YR"
"Santa Clara","2,013","All","20% to 34% of income","0.31176297243","ACS_B25074_B25095_1YR"
"Solano","2,013","All","20% to 34% of income","0.32050096422","ACS_B25074_B25095_1YR"
"Sonoma","2,013","All","20% to 34% of income","0.32345700435","ACS_B25074_B25095_1YR"
"Alameda","2,013","All","At least 35% of income","0.32766796814","ACS_B25074_B25095_1YR"
"Contra Costa","2,013","All","At least 35% of income","0.31247722479","ACS_B25074_B25095_1YR"
"Marin","2,013","All","At least 35% of income","0.33350174855","ACS_B25074_B25095_1YR"
"Napa","2,013","All","At least 35% of income","0.33014602488","ACS_B25074_B25095_1YR"
